Tissue	State	Gene	Function	MutFreq	LossFreq	GainFreq	NoMutLoss	MutLoss	NoMutWT	MutWT	NoMutGain	MutGain
Genitourinary	Primary_WO_Metastasis	SMAD4	TSG	0.0126760563380282	0.119718309859155	0.0112676056338028	84	3	611	8	9	1
Genitourinary	Metastasis	SPEN	TSG	0.0108616944243302	0.143374366401159	0.054308472121651	194	6	1099	11	76	1
Genitourinary	Metastasis	SPOP	TSG	0.0687907313540912	0.0224475018102824	0.114409847936278	30	3	1106	88	153	7
Genitourinary	Metastasis	STAG2	TSG	0.0130340333091962	0.0941346850108617	0.10789283128168	129	3	1087	17	150	1
Genitourinary	Primary_W_Metastasis	TERT	OG	0.250535331905782	0.105460385438972	0.140792291220557	160	39	1100	310	143	122
Genitourinary	Metastasis	TERT	OG	0.123823316437364	0.0796524257784214	0.204199855177408	101	11	874	117	238	46
Genitourinary	Primary_WO_Metastasis	TERT	OG	0.288732394366197	0.0535211267605634	0.102816901408451	28	12	443	158	37	38
Genitourinary	Metastasis	TP53	TSG	0.325126719768284	0.270094134685011	0.0246198406951484	177	198	730	246	28	8
Genitourinary	Primary_W_Metastasis	TP53	TSG	0.294967880085653	0.214668094218415	0.0203426124197002	203	200	1090	341	27	13
Genitourinary	Primary_WO_Metastasis	TP53	TSG	0.208450704225352	0.153521126760563	0.0126760563380282	59	52	498	96	8	3
Genitourinary	Primary_W_Metastasis	TSC1	TSG	0.0289079229122056	0.139721627408994	0.0519271948608137	235	28	1484	28	98	1
Genitourinary	Metastasis	TSC1	TSG	0.0115858073859522	0.116582186821144	0.128167994207096	153	10	1038	7	177	2
Genitourinary	Primary_WO_Metastasis	TSC1	TSG	0.0323943661971831	0.13943661971831	0.0394366197183099	89	12	572	13	29	1
Genitourinary	Metastasis	VHL	TSG	0.0803765387400434	0.0992034757422158	0.12237509051412	96	43	1008	69	169	2
Genitourinary	Primary_WO_Metastasis	ZFHX3	TSG	0.028169014084507	0.138028169014085	0.0267605633802817	96	4	578	17	19	2
Genitourinary	Metastasis	ZFHX3	TSG	0.0369297610427227	0.307023895727734	0.0267921795800145	408	18	889	33	36	3
Genitourinary	Primary_W_Metastasis	ZFHX3	TSG	0.0321199143468951	0.207708779443255	0.0401498929336188	372	18	1365	42	74	3
Gynecologic	Metastasis	AKT1	OG	0.0171017101710171	0.148514851485149	0.110711071107111	166	1	806	19	123	2
Gynecologic	Primary_W_Metastasis	AKT1	OG	0.017258883248731	0.119796954314721	0.0791878172588832	119	1	775	16	77	3
Gynecologic	Primary_WO_Metastasis	AMER1	TSG	0.0102669404517454	0.119096509240246	0.00616016427104723	59	1	422	6	4	1
Gynecologic	Primary_WO_Metastasis	ANKRD11	TSG	0.0246406570841889	0.129363449691992	0.0082135523613963	63	2	410	12	5	1
Gynecologic	Primary_W_Metastasis	ANKRD11	TSG	0.0121827411167513	0.330964467005076	0.0355329949238579	327	1	613	13	36	1
Gynecologic	Primary_W_Metastasis	APC	TSG	0.0284263959390863	0.191878172588832	0.0263959390862944	186	5	748	24	26	2
Gynecologic	Metastasis	ARID1A	TSG	0.126012601260126	0.266426642664266	0.0576057605760576	277	21	633	120	64	2
Gynecologic	Primary_W_Metastasis	ARID1A	TSG	0.241624365482234	0.221319796954315	0.0578680203045685	188	32	511	201	51	8
Gynecologic	Primary_WO_Metastasis	ARID1A	TSG	0.429158110882957	0.102669404517454	0.0246406570841889	34	18	235	192	12	2
Gynecologic	Metastasis	ARID1B	TSG	0.0198019801980198	0.31953195319532	0.0513051305130513	355	2	679	22	58	1
Gynecologic	Primary_W_Metastasis	ARID1B	TSG	0.0263959390862944	0.213197969543147	0.0416243654822335	208	4	714	22	40	3
Gynecologic	Metastasis	ARID5B	TSG	0.0117011701170117	0.102610261026103	0.122412241224122	115	1	851	12	135	3
Gynecologic	Primary_W_Metastasis	ASXL1	TSG	0.0121827411167513	0.0152284263959391	0.233502538071066	16	1	730	12	230	2
Gynecologic	Primary_W_Metastasis	ASXL2	TSG	0.0101522842639594	0.0304568527918782	0.138071065989848	31	1	810	11	137	1
Gynecologic	Primary_W_Metastasis	ATM	TSG	0.0456852791878173	0.173604060913706	0.0639593908629442	168	5	711	42	64	1
Gynecologic	Metastasis	ATM	TSG	0.0153015301530153	0.195319531953195	0.0873087308730873	214	5	786	13	97	2
Gynecologic	Primary_W_Metastasis	ATR	TSG	0.0192893401015228	0.016243654822335	0.252791878172589	17	1	703	19	249	2
Gynecologic	Metastasis	ATRX	TSG	0.0144014401440144	0.442844284428443	0.0126012601260126	491	3	593	14	14	2
Gynecologic	Primary_W_Metastasis	ATRX	TSG	0.0243654822335025	0.330964467005076	0.0142131979695431	325	3	624	23	15	1
Gynecologic	Primary_WO_Metastasis	ATRX	TSG	0.0451745379876797	0.104722792607803	0.00410677618069815	52	1	413	23	3	1
Gynecologic	Metastasis	B2M	TSG	0.0108010801080108	0.342034203420342	0.0396039603960396	378	4	679	10	45	1
Gynecologic	Metastasis	BCOR	TSG	0.0288028802880288	0.461746174617462	0.0189018901890189	510	5	551	28	21	2
Gynecologic	Primary_WO_Metastasis	BCOR	TSG	0.106776180698152	0.102669404517454	0.0143737166324435	49	3	382	50	7	2
Gynecologic	Primary_W_Metastasis	BCOR	TSG	0.049746192893401	0.316751269035533	0.0182741116751269	308	6	613	44	18	2
Gynecologic	Primary_W_Metastasis	BLM	TSG	0.0101522842639594	0.168527918781726	0.0934010152284264	167	1	719	10	92	2
Gynecologic	Metastasis	BRAF	OG	0.0108010801080108	0.063006300630063	0.202520252025203	71	1	808	10	223	4
Gynecologic	Metastasis	BRCA1	TSG	0.0342034203420342	0.226822682268227	0.0594059405940594	241	13	770	25	65	3
Gynecologic	Primary_W_Metastasis	BRCA1	TSG	0.0203045685279188	0.196954314720812	0.0568527918781726	188	8	725	12	55	3
Gynecologic	Primary_W_Metastasis	BRCA2	TSG	0.0253807106598985	0.229441624365482	0.033502538071066	223	5	706	22	34	1
Gynecologic	Metastasis	BRCA2	TSG	0.0207020702070207	0.279027902790279	0.0342034203420342	304	8	748	17	39	1
Gynecologic	Metastasis	CCND1	OG	0.0117011701170117	0.0756075607560756	0.152115211521152	85	1	846	14	170	1
Gynecologic	Primary_W_Metastasis	CDK12	TSG	0.0131979695431472	0.209137055837563	0.0690355329949239	203	5	704	9	68	2
Gynecologic	Metastasis	CDK12	TSG	0.0144014401440144	0.281728172817282	0.054005400540054	309	6	728	12	61	1
Gynecologic	Primary_W_Metastasis	CIC	TSG	0.0182741116751269	0.157360406091371	0.0964467005076142	155	2	719	18	96	1
Gynecologic	Metastasis	CREBBP	TSG	0.0171017101710171	0.258325832583258	0.0801080108010801	285	4	722	15	88	3
Gynecologic	Primary_W_Metastasis	CREBBP	TSG	0.0294416243654822	0.203045685279188	0.0802030456852792	200	2	680	28	79	2
Gynecologic	Metastasis	CTCF	TSG	0.045004500450045	0.378037803780378	0.0414041404140414	419	3	599	48	46	2
Gynecologic	Primary_W_Metastasis	CTCF	TSG	0.0873096446700508	0.275126903553299	0.0395939086294416	271	2	591	86	40	1
Gynecologic	Primary_WO_Metastasis	CTCF	TSG	0.15605749486653	0.100616016427105	0.0102669404517454	50	1	358	77	6	1
Gynecologic	Primary_W_Metastasis	CTNNB1	OG	0.0710659898477157	0.137055837563452	0.049746192893401	134	3	734	69	50	1
