Gene	Function
HOXB13	DFG
ICOSLG	OG
IFNGR1	TSG
IGF1	OG
IGF2	OG
IKZF3	DFG
INHA	TSG
INPPL1	TSG
INSR	OG
IRF1	TSG
IRF8	TSG
IRS1	OG
JARID2	DFG
KMT2B	TSG
LCK	OG
LMO2	OG
LZTR1	TSG
MAFB	OG
MAPK3	OG
MECOM	OG
MGA	TSG
MLLT10	OG
MSI1	OG
MST1	TSG
MTAP	TSG
NCOA3	OG
NCSTN	OG
NKX3-1	TSG
NOTCH4	DFG
NR4A3	OG
NTHL1	TSG
NUF2	OG
NUP98	OG
PAK1	OG
PAK5	OG
PDGFB	OG
PGR	OG
PIK3CD	OG
PIK3R3	TSG
PLCG1	OG
PMAIP1	TSG
PMS1	TSG
PTPN2	TSG
PTPRD	TSG
PTPRS	TSG
RAB35	OG
RAC2	OG
RASA1	TSG
RBM15	DFG
RECQL	TSG
RHEB	OG
RIT1	OG
RPS6KA4	OG
RPS6KB2	OG
RRAGC	OG
RRAS	OG
RRAS2	OG
RTEL1	TSG
RYBP	TSG
SESN1	TSG
SESN2	TSG
SESN3	TSG
SETDB1	DFG
SH2D1A	TSG
SHOC2	OG
SHQ1	TSG
SLX4	TSG
SMARCE1	DFG
SMC1A	TSG
SMC3	TSG
SMYD3	OG
SOS1	OG
SOX17	TSG
SPRED1	TSG
SS18	OG
STK19	OG
TAL1	OG
TCL1A	OG
TFE3	OG
TGFBR1	TSG
TLX1	OG
TLX3	OG
TP53BP1	TSG
TRAF3	TSG
TRAF5	TSG
TYK2	OG
UBR5	OG
USP8	OG
XBP1	OG
XIAP	OG
YAP1	OG
YES1	OG
ACTG1	TSG
AGO1	OG
APLNR	DFG
ARHGAP35	DFG
ARHGEF28	OG
ARID3A	TSG
ARID3B	OG
ARID4A	TSG
ARID4B	TSG
ATP6V1B2	TSG
ATXN2	TSG
ATXN7	OG
BACH2	TSG
CD28	OG
CMTR2	TSG
CRBN	TSG
CREB1	OG
CTR9	TSG
CYP19A1	OG
ECT2L	TSG
