Tissue	State	Gene	Function	MutFreq	LossFreq	GainFreq	NoMutLoss	MutLoss	NoMutWT	MutWT	NoMutGain	MutGain
Core-GI	Metastasis	GNAS	OG	0.0376497432972048	0.0062749572162008	0.4968625213919	12	1	814	59	864	9
Core-GI	Metastasis	KIT	OG	0.0610382201939532	0.272104962920707	0.038220193953223	467	12	1135	76	47	22
Core-GI	Metastasis	NRAS	OG	0.031374786081004	0.241300627495722	0.0148317170564746	414	11	1263	43	24	4
Core-GI	Metastasis	TERT	OG	0.0125499144324016	0.0730176839703366	0.182544209925841	129	1	1289	18	316	6
Core-GI	Metastasis	SOX9	DFG	0.058185966913862	0.101540216771249	0.0872789503707929	175	5	1334	90	145	10
Developmental-GI-Tract	Primary	ARID1A	TSG	0.104761904761905	0.265546218487395	0.00952380952380952	415	61	1169	127	17	2
Developmental-GI-Tract	Primary	BAP1	TSG	0.0274509803921569	0.143417366946779	0.00896358543417367	227	31	1495	20	17	1
Developmental-GI-Tract	Primary	CDKN2A	TSG	0.127170868347339	0.336694677871148	0.0156862745098039	553	50	980	178	28	2
Developmental-GI-Tract	Primary	KDM6A	TSG	0.0207282913165266	0.10812324929972	0.0313725490196078	189	6	1506	32	56	2
Developmental-GI-Tract	Primary	PBRM1	TSG	0.0235294117647059	0.14453781512605	0.0128851540616246	239	21	1483	23	24	1
Developmental-GI-Tract	Primary	RBM10	TSG	0.0151260504201681	0.112044817927171	0.026890756302521	198	4	1514	25	49	1
Developmental-GI-Tract	Primary	SETD2	TSG	0.0145658263305322	0.140616246498599	0.00896358543417367	250	3	1495	25	17	1
Developmental-GI-Tract	Primary	SMAD4	TSG	0.13781512605042	0.218487394957983	0.0224089635854342	293	99	1208	149	41	1
Developmental-GI-Tract	Primary	TGFBR1	TSG	0.0100840336134454	0.107563025210084	0.0246498599439776	189	5	1536	15	45	1
Developmental-GI-Tract	Primary	TGFBR2	TSG	0.0162464985994398	0.221288515406162	0.02296918767507	388	9	1329	22	42	1
Developmental-GI-Tract	Primary	TP53	TSG	0.551260504201681	0.176470588235294	0.030812324929972	85	232	673	744	46	11
Developmental-GI-Tract	Primary	CTNNB1	OG	0.0397759103641457	0.130532212885154	0.0156862745098039	230	5	1460	66	27	3
Developmental-GI-Tract	Primary	GNAS	OG	0.02296918767507	0.0134453781512605	0.124929971988796	25	1	1502	38	220	5
Developmental-GI-Tract	Primary	TERT	OG	0.0705882352941176	0.0364145658263305	0.103081232492997	63	4	1440	98	159	27
Developmental-GI-Tract	Metastasis	ARID1A	TSG	0.102516309412861	0.293569431500466	0.00745573159366263	288	29	670	82	8	2
Developmental-GI-Tract	Metastasis	ARID2	TSG	0.0205032618825722	0.0661696178937558	0.117427772600186	70	3	858	20	126	2
